No,Label,Latitude,Longitude,Altitude,Distance Previous (m),Distance Total (m),Line
1,L1,1.15324444,103.89435833,0.000,0.000,0.000,1
2,L2,1.15288353,103.89701119,0.000,300.000,300.000,1
3,L3,1.15222187,103.89961715,0.000,300.000,600.000,1
4,L4,1.15171498,103.90224898,0.000,300.000,900.000,1
5,L5,1.15140265,103.90491529,0.000,300.000,1200.000,1
6,L6,1.15094870,103.90753369,0.000,300.000,1500.000,1
7,L7,1.14994374,103.91003808,0.000,300.000,1800.000,1
8,L8,1.14890860,103.91252984,0.000,300.000,2100.000,1
9,L9,1.14726145,103.91453327,0.000,300.000,2400.000,1
10,L10,1.14474396,103.91553455,0.000,300.000,2700.000,1
11,L11,1.14220676,103.91649098,0.000,300.000,3000.000,1
12,L12,1.13974673,103.91762488,0.000,300.000,3300.000,1
