No,Label,Latitude,Longitude,Altitude,Distance Previous (m),Distance Total (m),Line
1,L1,-2.77202422,107.66158614,0.000,0.000,0.000,1
2,L2,-2.77157629,107.66153005,0.000,50.000,50.000,1
3,L3,-2.77116990,107.66168515,0.000,50.000,100.000,1
4,L4,-2.77081045,107.66194770,0.000,50.000,150.000,1
5,L5,-2.77042071,107.66217230,0.000,50.000,200.000,1
6,L6,-2.77006691,107.66245068,0.000,50.000,250.000,1
7,L7,-2.76970217,107.66271466,0.000,50.000,300.000,1
8,L8,-2.76929741,107.66291310,0.000,50.000,350.000,1
9,L9,-2.76916720,107.66329948,0.000,50.000,400.000,1
10,L10,-2.76930078,107.66372795,0.000,50.000,450.000,1
11,L11,-2.76949260,107.66413387,0.000,50.000,500.000,1
12,L12,-2.76962352,107.66455958,0.000,50.000,550.000,1
13,L13,-2.76965452,107.66500712,0.000,50.000,600.000,1
14,L14,-2.76948869,107.66541043,0.000,50.000,650.000,1
15,L15,-2.76914894,107.66570075,0.000,50.000,700.000,1
