No,Label,Latitude,Longitude,Altitude,Distance Previous (m),Distance Total (m),Line
1,P1,1.15324444,103.89435833,0.000,0.000,0.000,1
2,P2,1.15327114,103.89462663,0.000,30.000,30.000,1
3,P3,1.15329784,103.89489493,0.000,30.000,60.000,1
4,P4,1.15325202,103.89515980,0.000,30.000,90.000,1
5,P5,1.15319980,103.89542437,0.000,30.000,120.000,1
6,P6,1.15314759,103.89568894,0.000,30.000,150.000,1
7,P7,1.15309537,103.89595351,0.000,30.000,180.000,1
8,P8,1.15304316,103.89621808,0.000,30.000,210.000,1
9,P9,1.15299001,103.89648246,0.000,30.000,240.000,1
10,P10,1.15293677,103.89674683,0.000,30.000,270.000,1
11,P11,1.15288353,103.89701119,0.000,30.000,300.000,1
12,P12,1.15283029,103.89727556,0.000,30.000,330.000,1
13,P13,1.15277705,103.89753993,0.000,30.000,360.000,1
14,P14,1.15272420,103.89780437,0.000,30.000,390.000,1
15,P15,1.15267138,103.89806882,0.000,30.000,420.000,1
16,P16,1.15261857,103.89833327,0.000,30.000,450.000,1
17,P17,1.15256576,103.89859772,0.000,30.000,480.000,1
18,P18,1.15251295,103.89886218,0.000,30.000,510.000,1
19,P19,1.15241857,103.89911460,0.000,30.000,540.000,1
20,P20,1.15232022,103.89936588,0.000,30.000,570.000,1
21,P21,1.15222187,103.89961715,0.000,30.000,600.000,1
22,P22,1.15212352,103.89986843,0.000,30.000,630.000,1
23,P23,1.15202516,103.90011971,0.000,30.000,660.000,1
24,P24,1.15197044,103.90038366,0.000,30.000,690.000,1
25,P25,1.15191706,103.90064799,0.000,30.000,720.000,1
26,P26,1.15186368,103.90091233,0.000,30.000,750.000,1
27,P27,1.15181030,103.90117667,0.000,30.000,780.000,1
28,P28,1.15175994,103.90144139,0.000,30.000,810.000,1
29,P29,1.15174495,103.90171059,0.000,30.000,840.000,1
30,P30,1.15172996,103.90197978,0.000,30.000,870.000,1
31,P31,1.15171498,103.90224898,0.000,30.000,900.000,1
32,P32,1.15169999,103.90251817,0.000,30.000,930.000,1
33,P33,1.15168505,103.90278737,0.000,30.000,960.000,1
34,P34,1.15167061,103.90305660,0.000,30.000,990.000,1
35,P35,1.15165618,103.90332582,0.000,30.000,1020.000,1
36,P36,1.15164175,103.90359505,0.000,30.000,1050.000,1
37,P37,1.15162732,103.90386427,0.000,30.000,1080.000,1
38,P38,1.15160909,103.90413291,0.000,30.000,1110.000,1
39,P39,1.15154028,103.90439371,0.000,30.000,1140.000,1
40,P40,1.15147146,103.90465450,0.000,30.000,1170.000,1
41,P41,1.15140265,103.90491529,0.000,30.000,1200.000,1
42,P42,1.15133383,103.90517609,0.000,30.000,1230.000,1
43,P43,1.15126502,103.90543688,0.000,30.000,1260.000,1
44,P44,1.15125833,103.90570563,0.000,30.000,1290.000,1
45,P45,1.15125833,103.90597524,0.000,30.000,1320.000,1
46,P46,1.15125833,103.90624485,0.000,30.000,1350.000,1
47,P47,1.15125833,103.90651446,0.000,30.000,1380.000,1
48,P48,1.15125080,103.90678262,0.000,30.000,1410.000,1
49,P49,1.15115010,103.90703298,0.000,30.000,1440.000,1
50,P50,1.15104940,103.90728334,0.000,30.000,1470.000,1
51,P51,1.15094870,103.90753369,0.000,30.000,1500.000,1
52,P52,1.15084800,103.90778405,0.000,30.000,1530.000,1
53,P53,1.15074732,103.90803442,0.000,30.000,1560.000,1
54,P54,1.15064683,103.90828486,0.000,30.000,1590.000,1
55,P55,1.15054634,103.90853530,0.000,30.000,1620.000,1
56,P56,1.15044586,103.90878574,0.000,30.000,1650.000,1
57,P57,1.15034537,103.90903618,0.000,30.000,1680.000,1
58,P58,1.15024489,103.90928663,0.000,30.000,1710.000,1
59,P59,1.15014451,103.90953711,0.000,30.000,1740.000,1
60,P60,1.15004413,103.90978759,0.000,30.000,1770.000,1
61,P61,1.14994374,103.91003808,0.000,30.000,1800.000,1
62,P62,1.14984336,103.91028856,0.000,30.000,1830.000,1
63,P63,1.14974296,103.91053904,0.000,30.000,1860.000,1
64,P64,1.14964231,103.91078941,0.000,30.000,1890.000,1
65,P65,1.14954166,103.91103979,0.000,30.000,1920.000,1
66,P66,1.14944101,103.91129017,0.000,30.000,1950.000,1
67,P67,1.14934036,103.91154054,0.000,30.000,1980.000,1
68,P68,1.14923900,103.91179062,0.000,30.000,2010.000,1
69,P69,1.14912887,103.91203703,0.000,30.000,2040.000,1
70,P70,1.14901873,103.91228344,0.000,30.000,2070.000,1
71,P71,1.14890860,103.91252984,0.000,30.000,2100.000,1
72,P72,1.14879847,103.91277625,0.000,30.000,2130.000,1
73,P73,1.14868621,103.91302158,0.000,30.000,2160.000,1
74,P74,1.14854976,103.91325462,0.000,30.000,2190.000,1
75,P75,1.14841330,103.91348766,0.000,30.000,2220.000,1
76,P76,1.14827685,103.91372071,0.000,30.000,2250.000,1
77,P77,1.14814039,103.91395375,0.000,30.000,2280.000,1
78,P78,1.14798969,103.91417171,0.000,30.000,2310.000,1
79,P79,1.14774694,103.91429223,0.000,30.000,2340.000,1
80,P80,1.14750419,103.91441275,0.000,30.000,2370.000,1
