No,Label,Latitude,Longitude,Altitude,Distance Previous (m),Distance Total (m),Line
1,L1,1.13906734,103.91910599,0.000,0.000,0.000,1
2,L2,1.13906738,103.91919586,0.000,10.000,10.000,1
3,L3,1.13906742,103.91928573,0.000,10.000,20.000,1
4,L4,1.13906746,103.91937560,0.000,10.000,30.000,1
5,L5,1.13906751,103.91946547,0.000,10.000,40.000,1
6,L6,1.13906755,103.91955534,0.000,10.000,50.000,1
7,L7,1.13906759,103.91964521,0.000,10.000,60.000,1
8,L8,1.13906763,103.91973508,0.000,10.000,70.000,1
9,L9,1.13910760,103.91981287,0.000,10.000,80.000,1
10,L10,1.13915794,103.91988754,0.000,10.000,90.000,1
11,L11,1.13920829,103.91996220,0.000,10.000,100.000,1
12,L12,1.13925863,103.92003686,0.000,10.000,110.000,1
13,L13,1.13930898,103.92011153,0.000,10.000,120.000,1
14,L14,1.13935933,103.92018619,0.000,10.000,130.000,1
15,L15,1.13940967,103.92026085,0.000,10.000,140.000,1
16,L16,1.13946002,103.92033552,0.000,10.000,150.000,1
17,L17,1.13951036,103.92041018,0.000,10.000,160.000,1
18,L18,1.13956071,103.92048484,0.000,10.000,170.000,1
