No,Label,Latitude,Longitude,Altitude,Distance Previous (m),Distance Total (m),Line
1,L1,1.15324444,103.89435833,0.000,0.000,0.000,1
2,L2,1.15328894,103.89480550,0.000,50.000,50.000,1
3,L3,1.15323461,103.89524799,0.000,50.000,100.000,1
4,L4,1.15314759,103.89568894,0.000,50.000,150.000,1
5,L5,1.15306057,103.89612989,0.000,50.000,200.000,1
6,L6,1.15297226,103.89657058,0.000,50.000,250.000,1
7,L7,1.15288353,103.89701119,0.000,50.000,300.000,1
8,L8,1.15279479,103.89745180,0.000,50.000,350.000,1
9,L9,1.15270659,103.89789252,0.000,50.000,400.000,1
10,L10,1.15261857,103.89833327,0.000,50.000,450.000,1
11,L11,1.15253055,103.89877402,0.000,50.000,500.000,1
12,L12,1.15238579,103.89919836,0.000,50.000,550.000,1
13,L13,1.15222187,103.89961715,0.000,50.000,600.000,1
14,L14,1.15205795,103.90003595,0.000,50.000,650.000,1
15,L15,1.15195265,103.90047177,0.000,50.000,700.000,1
16,L16,1.15186368,103.90091233,0.000,50.000,750.000,1
17,L17,1.15177472,103.90135290,0.000,50.000,800.000,1
18,L18,1.15173995,103.90180032,0.000,50.000,850.000,1
19,L19,1.15171498,103.90224898,0.000,50.000,900.000,1
20,L20,1.15169000,103.90269764,0.000,50.000,950.000,1
21,L21,1.15166580,103.90314634,0.000,50.000,1000.000,1
22,L22,1.15164175,103.90359505,0.000,50.000,1050.000,1
23,L23,1.15161769,103.90404376,0.000,50.000,1100.000,1
24,L24,1.15151734,103.90448064,0.000,50.000,1150.000,1
25,L25,1.15140265,103.90491529,0.000,50.000,1200.000,1
26,L26,1.15128796,103.90534995,0.000,50.000,1250.000,1
27,L27,1.15125833,103.90579550,0.000,50.000,1300.000,1
28,L28,1.15125833,103.90624485,0.000,50.000,1350.000,1
29,L29,1.15125833,103.90669419,0.000,50.000,1400.000,1
30,L30,1.15111653,103.90711643,0.000,50.000,1450.000,1
31,L31,1.15094870,103.90753369,0.000,50.000,1500.000,1
32,L32,1.15078087,103.90795096,0.000,50.000,1550.000,1
33,L33,1.15061334,103.90836834,0.000,50.000,1600.000,1
34,L34,1.15044586,103.90878574,0.000,50.000,1650.000,1
35,L35,1.15027838,103.90920314,0.000,50.000,1700.000,1
36,L36,1.15011105,103.90962061,0.000,50.000,1750.000,1
37,L37,1.14994374,103.91003808,0.000,50.000,1800.000,1
38,L38,1.14977644,103.91045555,0.000,50.000,1850.000,1
39,L39,1.14960876,103.91087287,0.000,50.000,1900.000,1
40,L40,1.14944101,103.91129017,0.000,50.000,1950.000,1
41,L41,1.14927326,103.91170746,0.000,50.000,2000.000,1
42,L42,1.14909215,103.91211917,0.000,50.000,2050.000,1
43,L43,1.14890860,103.91252984,0.000,50.000,2100.000,1
44,L44,1.14872505,103.91294052,0.000,50.000,2150.000,1
45,L45,1.14850427,103.91333230,0.000,50.000,2200.000,1
46,L46,1.14827685,103.91372071,0.000,50.000,2250.000,1
47,L47,1.14804942,103.91410911,0.000,50.000,2300.000,1
48,L48,1.14766602,103.91433240,0.000,50.000,2350.000,1
49,L49,1.14726145,103.91453327,0.000,50.000,2400.000,1
50,L50,1.14685687,103.91473414,0.000,50.000,2450.000,1
51,L51,1.14643520,103.91489633,0.000,50.000,2500.000,1
52,L52,1.14601260,103.91505644,0.000,50.000,2550.000,1
53,L53,1.14559000,103.91521654,0.000,50.000,2600.000,1
54,L54,1.14516699,103.91537556,0.000,50.000,2650.000,1
55,L55,1.14474396,103.91553455,0.000,50.000,2700.000,1
56,L56,1.14432093,103.91569353,0.000,50.000,2750.000,1
57,L57,1.14389802,103.91585281,0.000,50.000,2800.000,1
58,L58,1.14347511,103.91601210,0.000,50.000,2850.000,1
59,L59,1.14305220,103.91617139,0.000,50.000,2900.000,1
60,L60,1.14262948,103.91633119,0.000,50.000,2950.000,1
61,L61,1.14220676,103.91649098,0.000,50.000,3000.000,1
62,L62,1.14178410,103.91665092,0.000,50.000,3050.000,1
63,L63,1.14137337,103.91683905,0.000,50.000,3100.000,1
64,L64,1.14096264,103.91702719,0.000,50.000,3150.000,1
65,L65,1.14055209,103.91721569,0.000,50.000,3200.000,1
66,L66,1.14014941,103.91742029,0.000,50.000,3250.000,1
67,L67,1.13974673,103.91762488,0.000,50.000,3300.000,1
68,L68,1.13935651,103.91783806,0.000,50.000,3350.000,1
69,L69,1.13930500,103.91828448,0.000,50.000,3400.000,1
70,L70,1.13925349,103.91873090,0.000,50.000,3450.000,1
