No,Label,Latitude,Longitude,Altitude,Distance Previous (m),Distance Total (m),Line
1,P1,1.15324444,103.89435833,0.000,0.000,0.000,1
2,P2,1.15326669,103.89458192,0.000,25.000,25.000,1
3,P3,1.15328894,103.89480550,0.000,25.000,50.000,1
4,P4,1.15327812,103.89502752,0.000,25.000,75.000,1
5,P5,1.15323461,103.89524799,0.000,25.000,100.000,1
6,P6,1.15319110,103.89546846,0.000,25.000,125.000,1
7,P7,1.15314759,103.89568894,0.000,25.000,150.000,1
8,P8,1.15310408,103.89590941,0.000,25.000,175.000,1
9,P9,1.15306057,103.89612989,0.000,25.000,200.000,1
10,P10,1.15301663,103.89635028,0.000,25.000,225.000,1
11,P11,1.15297226,103.89657058,0.000,25.000,250.000,1
12,P12,1.15292789,103.89679089,0.000,25.000,275.000,1
13,P13,1.15288353,103.89701119,0.000,25.000,300.000,1
14,P14,1.15283916,103.89723150,0.000,25.000,325.000,1
15,P15,1.15279479,103.89745180,0.000,25.000,350.000,1
16,P16,1.15275060,103.89767214,0.000,25.000,375.000,1
17,P17,1.15270659,103.89789252,0.000,25.000,400.000,1
18,P18,1.15266258,103.89811290,0.000,25.000,425.000,1
19,P19,1.15261857,103.89833327,0.000,25.000,450.000,1
20,P20,1.15257456,103.89855365,0.000,25.000,475.000,1
21,P21,1.15253055,103.89877402,0.000,25.000,500.000,1
22,P22,1.15246775,103.89898896,0.000,25.000,525.000,1
23,P23,1.15238579,103.89919836,0.000,25.000,550.000,1
24,P24,1.15230383,103.89940776,0.000,25.000,575.000,1
25,P25,1.15222187,103.89961715,0.000,25.000,600.000,1
26,P26,1.15213991,103.89982655,0.000,25.000,625.000,1
27,P27,1.15205795,103.90003595,0.000,25.000,650.000,1
28,P28,1.15199713,103.90025149,0.000,25.000,675.000,1
29,P29,1.15195265,103.90047177,0.000,25.000,700.000,1
30,P30,1.15190816,103.90069205,0.000,25.000,725.000,1
31,P31,1.15186368,103.90091233,0.000,25.000,750.000,1
32,P32,1.15181920,103.90113262,0.000,25.000,775.000,1
33,P33,1.15177472,103.90135290,0.000,25.000,800.000,1
34,P34,1.15175244,103.90157599,0.000,25.000,825.000,1
35,P35,1.15173995,103.90180032,0.000,25.000,850.000,1
36,P36,1.15172747,103.90202465,0.000,25.000,875.000,1
37,P37,1.15171498,103.90224898,0.000,25.000,900.000,1
38,P38,1.15170249,103.90247331,0.000,25.000,925.000,1
39,P39,1.15169000,103.90269764,0.000,25.000,950.000,1
40,P40,1.15167783,103.90292199,0.000,25.000,975.000,1
41,P41,1.15166580,103.90314634,0.000,25.000,1000.000,1
42,P42,1.15165378,103.90337069,0.000,25.000,1025.000,1
43,P43,1.15164175,103.90359505,0.000,25.000,1050.000,1
44,P44,1.15162972,103.90381940,0.000,25.000,1075.000,1
45,P45,1.15161769,103.90404376,0.000,25.000,1100.000,1
46,P46,1.15157468,103.90426331,0.000,25.000,1125.000,1
47,P47,1.15151734,103.90448064,0.000,25.000,1150.000,1
48,P48,1.15145999,103.90469797,0.000,25.000,1175.000,1
49,P49,1.15140265,103.90491529,0.000,25.000,1200.000,1
50,P50,1.15134530,103.90513262,0.000,25.000,1225.000,1
51,P51,1.15128796,103.90534995,0.000,25.000,1250.000,1
52,P52,1.15125833,103.90557083,0.000,25.000,1275.000,1
53,P53,1.15125833,103.90579550,0.000,25.000,1300.000,1
54,P54,1.15125833,103.90602018,0.000,25.000,1325.000,1
55,P55,1.15125833,103.90624485,0.000,25.000,1350.000,1
56,P56,1.15125833,103.90646952,0.000,25.000,1375.000,1
57,P57,1.15125833,103.90669419,0.000,25.000,1400.000,1
58,P58,1.15120045,103.90690780,0.000,25.000,1425.000,1
59,P59,1.15111653,103.90711643,0.000,25.000,1450.000,1
60,P60,1.15103262,103.90732506,0.000,25.000,1475.000,1
61,P61,1.15094870,103.90753369,0.000,25.000,1500.000,1
62,P62,1.15086478,103.90774233,0.000,25.000,1525.000,1
63,P63,1.15078087,103.90795096,0.000,25.000,1550.000,1
64,P64,1.15069708,103.90815964,0.000,25.000,1575.000,1
65,P65,1.15061334,103.90836834,0.000,25.000,1600.000,1
66,P66,1.15052960,103.90857704,0.000,25.000,1625.000,1
67,P67,1.15044586,103.90878574,0.000,25.000,1650.000,1
68,P68,1.15036212,103.90899444,0.000,25.000,1675.000,1
69,P69,1.15027838,103.90920314,0.000,25.000,1700.000,1
70,P70,1.15019470,103.90941187,0.000,25.000,1725.000,1
71,P71,1.15011105,103.90962061,0.000,25.000,1750.000,1
72,P72,1.15002740,103.90982934,0.000,25.000,1775.000,1
73,P73,1.14994374,103.91003808,0.000,25.000,1800.000,1
74,P74,1.14986009,103.91024681,0.000,25.000,1825.000,1
75,P75,1.14977644,103.91045555,0.000,25.000,1850.000,1
76,P76,1.14969263,103.91066422,0.000,25.000,1875.000,1
77,P77,1.14960876,103.91087287,0.000,25.000,1900.000,1
78,P78,1.14952488,103.91108152,0.000,25.000,1925.000,1
79,P79,1.14944101,103.91129017,0.000,25.000,1950.000,1
80,P80,1.14935713,103.91149881,0.000,25.000,1975.000,1
81,P81,1.14927326,103.91170746,0.000,25.000,2000.000,1
82,P82,1.14918393,103.91191383,0.000,25.000,2025.000,1
83,P83,1.14909215,103.91211917,0.000,25.000,2050.000,1
84,P84,1.14900038,103.91232451,0.000,25.000,2075.000,1
85,P85,1.14890860,103.91252984,0.000,25.000,2100.000,1
86,P86,1.14881682,103.91273518,0.000,25.000,2125.000,1
87,P87,1.14872505,103.91294052,0.000,25.000,2150.000,1
88,P88,1.14861799,103.91313810,0.000,25.000,2175.000,1
89,P89,1.14850427,103.91333230,0.000,25.000,2200.000,1
90,P90,1.14839056,103.91352650,0.000,25.000,2225.000,1
91,P91,1.14827685,103.91372071,0.000,25.000,2250.000,1
92,P92,1.14816313,103.91391491,0.000,25.000,2275.000,1
93,P93,1.14804942,103.91410911,0.000,25.000,2300.000,1
94,P94,1.14786831,103.91423197,0.000,25.000,2325.000,1
95,P95,1.14766602,103.91433240,0.000,25.000,2350.000,1
96,P96,1.14746374,103.91443284,0.000,25.000,2375.000,1
97,P97,1.14726145,103.91453327,0.000,25.000,2400.000,1
98,P98,1.14705916,103.91463370,0.000,25.000,2425.000,1
99,P99,1.14685687,103.91473414,0.000,25.000,2450.000,1
100,P100,1.14664650,103.91481628,0.000,25.000,2475.000,1
101,P101,1.14643520,103.91489633,0.000,25.000,2500.000,1
102,P102,1.14622390,103.91497638,0.000,25.000,2525.000,1
103,P103,1.14601260,103.91505644,0.000,25.000,2550.000,1
104,P104,1.14580130,103.91513649,0.000,25.000,2575.000,1
105,P105,1.14559000,103.91521654,0.000,25.000,2600.000,1
106,P106,1.14537850,103.91529607,0.000,25.000,2625.000,1
107,P107,1.14516699,103.91537556,0.000,25.000,2650.000,1
108,P108,1.14495547,103.91545506,0.000,25.000,2675.000,1
109,P109,1.14474396,103.91553455,0.000,25.000,2700.000,1
110,P110,1.14453245,103.91561404,0.000,25.000,2725.000,1
111,P111,1.14432093,103.91569353,0.000,25.000,2750.000,1
112,P112,1.14410947,103.91577317,0.000,25.000,2775.000,1
113,P113,1.14389802,103.91585281,0.000,25.000,2800.000,1
114,P114,1.14368656,103.91593246,0.000,25.000,2825.000,1
115,P115,1.14347511,103.91601210,0.000,25.000,2850.000,1
116,P116,1.14326365,103.91609175,0.000,25.000,2875.000,1
117,P117,1.14305220,103.91617139,0.000,25.000,2900.000,1
118,P118,1.14284084,103.91625129,0.000,25.000,2925.000,1
119,P119,1.14262948,103.91633119,0.000,25.000,2950.000,1
120,P120,1.14241812,103.91641109,0.000,25.000,2975.000,1
121,P121,1.14220676,103.91649098,0.000,25.000,3000.000,1
122,P122,1.14199540,103.91657088,0.000,25.000,3025.000,1
123,P123,1.14178410,103.91665092,0.000,25.000,3050.000,1
124,P124,1.14157874,103.91674499,0.000,25.000,3075.000,1
125,P125,1.14137337,103.91683905,0.000,25.000,3100.000,1
126,P126,1.14116801,103.91693312,0.000,25.000,3125.000,1
127,P127,1.14096264,103.91702719,0.000,25.000,3150.000,1
128,P128,1.14075728,103.91712126,0.000,25.000,3175.000,1
129,P129,1.14055209,103.91721569,0.000,25.000,3200.000,1
130,P130,1.14035075,103.91731799,0.000,25.000,3225.000,1
131,P131,1.14014941,103.91742029,0.000,25.000,3250.000,1
132,P132,1.13994807,103.91752259,0.000,25.000,3275.000,1
133,P133,1.13974673,103.91762488,0.000,25.000,3300.000,1
134,P134,1.13954539,103.91772718,0.000,25.000,3325.000,1
135,P135,1.13935651,103.91783806,0.000,25.000,3350.000,1
136,P136,1.13933075,103.91806127,0.000,25.000,3375.000,1
137,P137,1.13930500,103.91828448,0.000,25.000,3400.000,1
138,P138,1.13927924,103.91850769,0.000,25.000,3425.000,1
139,P139,1.13925349,103.91873090,0.000,25.000,3450.000,1
140,P140,1.13917559,103.91893565,0.000,25.000,3475.000,1
