No,Nama Titik,Latitude Titik,Longitude Titik,Latitude Proyeksi,Longitude Proyeksi,Jarak (m)
1,001,1.7013536,101.5382546,1.7008833,101.5382750,52.336
2,002,1.7012727,101.5382343,1.7008833,101.5382750,43.529
3,003,1.7011885,101.5382283,1.7008833,101.5382750,34.327
4,004,1.7011034,101.5382268,1.7008833,101.5382750,25.046
5,005,1.7010196,101.5382197,1.7008833,101.5382750,16.355
6,006,1.7009392,101.5381983,1.7008801,101.5382725,10.540
7,007,1.7008684,101.5381573,1.7008165,101.5382224,9.262
8,008,1.7008094,101.5380978,1.7007511,101.5381711,10.404
9,009,1.7007496,101.5380429,1.7006874,101.5381210,11.095
10,010,1.7006910,101.5379835,1.7006223,101.5380698,12.270
11,011,1.7006352,101.5379125,1.7005532,101.5380155,14.636
12,012,1.7005614,101.5379083,1.7005057,101.5379782,9.935
13,013,1.7005230,101.5379826,1.7005185,101.5379883,0.803
14,014,1.7004921,101.5380586,1.7005367,101.5380026,7.964
15,015,1.7004173,101.5380995,1.7005107,101.5379822,16.679
16,016,1.7003311,101.5381119,1.7004638,101.5379453,23.678
17,017,1.7002516,101.5380930,1.7004056,101.5378996,27.485
18,018,1.7001815,101.5380460,1.7003395,101.5378476,28.193
19,019,1.7001173,101.5379912,1.7002732,101.5377955,27.823
20,020,1.7000667,101.5379249,1.7002096,101.5377455,25.492
21,021,1.7000357,101.5378465,1.7001521,101.5377003,20.779
22,022,1.7000231,101.5377641,1.7001040,101.5376625,14.438
23,023,1.7000229,101.5376787,1.7000621,101.5376295,6.988
24,024,1.7000218,101.5375937,1.7000198,101.5375963,0.368
25,025,1.6999979,101.5375172,1.6999662,101.5375534,5.355
26,026,1.6999476,101.5374505,1.6999043,101.5374999,7.300
27,027,1.6998887,101.5373868,1.6998390,101.5374434,8.370
28,028,1.6998366,101.5373199,1.6997761,101.5373888,10.191
29,029,1.6997906,101.5372505,1.6997153,101.5373362,12.681
30,030,1.6997453,101.5371808,1.6996548,101.5372838,15.241
31,031,1.6996951,101.5371131,1.6995926,101.5372299,17.277
32,032,1.6996362,101.5370510,1.6995282,101.5371741,18.201
33,033,1.6995689,101.5370017,1.6994654,101.5371197,17.456
34,034,1.6994948,101.5369715,1.6994082,101.5370702,14.591
35,035,1.6994151,101.5369586,1.6993564,101.5370254,9.881
36,036,1.6993313,101.5369571,1.6993081,101.5369836,3.907
37,037,1.6992451,101.5369616,1.6992614,101.5369431,2.748
38,038,1.6991578,101.5369664,1.6992142,101.5369022,9.501
39,039,1.6990711,101.5369659,1.6991646,101.5368592,15.769
40,040,1.6989863,101.5369543,1.6991107,101.5368126,20.970
41,041,1.6989056,101.5369276,1.6990515,101.5367613,24.598
42,042,1.6988325,101.5368852,1.6989917,101.5367094,26.362
43,043,1.6987707,101.5368273,1.6989657,101.5366764,27.420
44,044,1.6987232,101.5367563,1.6989131,101.5366093,26.700
45,045,1.6986919,101.5366769,1.6988626,101.5365448,23.988
46,046,1.6986787,101.5365941,1.6988171,101.5364869,19.464
47,047,1.6986811,101.5365107,1.6987774,101.5364362,13.530
48,048,1.6986917,101.5364271,1.6987406,101.5363893,6.866
49,049,1.6987026,101.5363434,1.6987038,101.5363425,0.174
50,050,1.6987066,101.5362598,1.6986645,101.5362923,5.917
51,051,1.6987026,101.5361762,1.6986222,101.5362384,11.302
52,052,1.6986923,101.5360928,1.6985776,101.5361816,16.122
53,053,1.6986774,101.5360098,1.6985315,101.5361228,20.517
54,054,1.6986596,101.5359272,1.6984844,101.5360628,24.628
55,055,1.6986401,101.5358452,1.6984370,101.5360024,28.552
56,056,1.6986185,101.5357640,1.6983893,101.5359415,32.227
57,057,1.6985939,101.5356842,1.6983410,101.5358800,35.560
58,058,1.6985657,101.5356060,1.6982922,101.5358178,38.454
59,059,1.6985335,101.5355298,1.6982428,101.5357548,40.864
60,060,1.6984974,101.5354553,1.6981928,101.5356911,42.823
61,061,1.6984579,101.5353824,1.6981423,101.5356267,44.373
62,062,1.6984154,101.5353109,1.6980914,101.5355617,45.553
63,063,1.6983701,101.5352408,1.6980400,101.5354963,46.405
64,064,1.6983224,101.5351718,1.6979884,101.5354304,46.968
65,065,1.6982727,101.5351038,1.6979364,101.5353641,47.284
66,066,1.6982213,101.5350366,1.6978842,101.5352976,47.394
67,067,1.6981685,101.5349702,1.6978318,101.5352308,47.337
68,068,1.6981147,101.5349042,1.6977793,101.5351639,47.154
69,069,1.6980602,101.5348387,1.6977267,101.5350969,46.887
70,070,1.6980055,101.5347734,1.6976742,101.5350299,46.575
71,071,1.6979507,101.5347082,1.6976217,101.5349629,46.260
72,072,1.6978963,101.5346429,1.6975693,101.5348961,45.981
73,073,1.6978426,101.5345775,1.6975170,101.5348295,45.780
74,074,1.6977898,101.5345118,1.6974650,101.5347632,45.665
75,075,1.6977373,101.5344461,1.6974131,101.5346971,45.582
76,076,1.6976849,101.5343809,1.6973615,101.5346312,45.470
77,077,1.6976319,101.5343163,1.6973100,101.5345655,45.266
78,078,1.6975780,101.5342528,1.6972586,101.5345001,44.908
79,079,1.6975227,101.5341906,1.6972074,101.5344348,44.336
80,080,1.6974658,101.5341300,1.6971563,101.5343696,43.524
81,081,1.6974075,101.5340707,1.6971053,101.5343046,42.487
82,082,1.6973477,101.5340127,1.6970544,101.5342397,41.243
83,083,1.6972868,101.5339558,1.6970036,101.5341750,39.809
84,084,1.6972246,101.5339000,1.6969529,101.5341104,38.204
85,085,1.6971615,101.5338452,1.6969023,101.5340458,36.444
86,086,1.6970975,101.5337912,1.6968517,101.5339814,34.548
87,087,1.6970326,101.5337379,1.6968012,101.5339170,32.533
88,088,1.6969671,101.5336852,1.6967508,101.5338527,30.417
89,089,1.6969011,101.5336331,1.6967004,101.5337885,28.218
90,090,1.6968346,101.5335814,1.6966500,101.5337243,25.953
91,091,1.6967678,101.5335299,1.6965997,101.5336601,23.639
92,092,1.6967008,101.5334787,1.6965494,101.5335959,21.295
93,093,1.6966338,101.5334275,1.6964991,101.5335318,18.938
94,094,1.6965667,101.5333763,1.6964487,101.5334676,16.586
95,095,1.6964998,101.5333250,1.6963984,101.5334035,14.256
96,096,1.6964332,101.5332734,1.6963480,101.5333393,11.967
97,097,1.6963669,101.5332214,1.6962977,101.5332750,9.735
98,098,1.6963011,101.5331690,1.6962472,101.5332107,7.579
99,099,1.6962360,101.5331160,1.6961968,101.5331464,5.515
100,100,1.6961716,101.5330624,1.6961462,101.5330820,3.563
101,101,1.6961080,101.5330079,1.6960956,101.5330175,1.739
102,102,1.6960454,101.5329525,1.6960450,101.5329529,0.061
103,103,1.6959839,101.5328962,1.6959942,101.5328882,1.453
104,104,1.6959235,101.5328387,1.6959434,101.5328234,2.786
105,105,1.6958645,101.5327800,1.6958924,101.5327584,3.929
106,106,1.6958065,101.5327203,1.6958414,101.5326933,4.903
107,107,1.6957494,101.5326597,1.6957902,101.5326281,5.731
108,108,1.6956932,101.5325982,1.6957390,101.5325628,6.437
109,109,1.6956375,101.5325361,1.6956876,101.5324973,7.046
110,110,1.6955822,101.5324735,1.6956362,101.5324317,7.581
111,111,1.6955273,101.5324104,1.6955846,101.5323660,8.067
112,112,1.6954723,101.5323471,1.6955330,101.5323002,8.527
113,113,1.6954173,101.5322837,1.6954813,101.5322342,8.986
114,114,1.6953621,101.5322203,1.6954294,101.5321682,9.469
115,115,1.6953064,101.5321570,1.6953775,101.5321020,9.998
116,116,1.6952501,101.5320940,1.6953255,101.5320357,10.598
117,117,1.6951930,101.5320314,1.6952734,101.5319692,11.294
118,118,1.6951351,101.5319693,1.6952212,101.5319027,12.098
119,119,1.6950766,101.5319075,1.6951689,101.5318361,12.980
120,120,1.6950178,101.5318459,1.6951166,101.5317694,13.899
121,121,1.6949590,101.5317843,1.6950644,101.5317028,14.815
122,122,1.6949006,101.5317225,1.6950121,101.5316362,15.685
123,123,1.6948428,101.5316604,1.6949600,101.5315697,16.468
124,124,1.6947861,101.5315976,1.6949079,101.5315033,17.125
125,125,1.6947307,101.5315341,1.6948560,101.5314372,17.613
126,126,1.6946770,101.5314697,1.6948043,101.5313712,17.891
127,127,1.6946253,101.5314042,1.6947527,101.5313055,17.919
128,128,1.6945759,101.5313373,1.6947015,101.5312401,17.655
129,129,1.6945291,101.5312690,1.6946504,101.5311751,17.058
130,130,1.6944853,101.5311990,1.6945997,101.5311105,16.087
131,131,1.6944448,101.5311272,1.6945494,101.5310462,14.701
132,132,1.6944079,101.5310533,1.6944994,101.5309825,12.862
133,133,1.6943743,101.5309776,1.6944497,101.5309192,10.603
134,134,1.6943434,101.5309003,1.6944003,101.5308562,8.007
135,135,1.6943143,101.5308218,1.6943511,101.5307934,5.161
136,136,1.6942866,101.5307426,1.6943019,101.5307308,2.153
137,137,1.6942593,101.5306629,1.6942527,101.5306681,0.932
138,138,1.6942319,101.5305832,1.6942035,101.5306053,4.006
139,139,1.6942037,101.5305038,1.6941540,101.5305422,6.982
140,140,1.6941738,101.5304250,1.6941043,101.5304789,9.775
141,141,1.6941417,101.5303473,1.6940543,101.5304151,12.297
142,142,1.6941067,101.5302710,1.6940038,101.5303507,14.469
143,143,1.6940687,101.5301962,1.6939529,101.5302858,16.279
144,144,1.6940279,101.5301229,1.6939017,101.5302206,17.747
145,145,1.6939847,101.5300510,1.6938503,101.5301551,18.895
146,146,1.6939392,101.5299807,1.6937988,101.5300894,19.744
147,147,1.6938917,101.5299118,1.6937472,101.5300237,20.315
148,148,1.6938423,101.5298444,1.6936957,101.5299579,20.619
149,149,1.6937910,101.5297784,1.6936441,101.5298922,20.656
150,150,1.6937378,101.5297140,1.6935925,101.5298264,20.423
151,151,1.6936826,101.5296510,1.6935409,101.5297607,19.920
152,152,1.6936255,101.5295895,1.6934894,101.5296949,19.147
153,153,1.6935665,101.5295295,1.6934378,101.5296291,18.101
154,154,1.6935055,101.5294709,1.6933862,101.5295633,16.782
155,155,1.6934426,101.5294139,1.6933345,101.5294975,15.189
156,156,1.6933779,101.5293582,1.6932829,101.5294317,13.358
157,157,1.6933122,101.5293033,1.6932313,101.5293659,11.373
158,158,1.6932460,101.5292489,1.6931797,101.5293002,9.321
159,159,1.6931801,101.5291944,1.6931282,101.5292345,7.292
160,160,1.6931151,101.5291394,1.6930726,101.5291621,5.359
161,161,1.6930516,101.5290835,1.6930348,101.5290925,2.108
162,162,1.6929903,101.5290263,1.6929970,101.5290226,0.855
163,163,1.6929318,101.5289672,1.6929591,101.5289526,3.443
164,164,1.6928768,101.5289058,1.6929210,101.5288822,5.567
165,165,1.6928260,101.5288416,1.6928827,101.5288114,7.140
166,166,1.6927800,101.5287743,1.6928550,101.5287456,8.925
167,167,1.6927392,101.5287035,1.6928258,101.5286704,10.305
168,168,1.6927030,101.5286296,1.6927962,101.5285939,11.089
169,169,1.6926704,101.5285532,1.6927662,101.5285166,11.404
170,170,1.6926403,101.5284750,1.6927359,101.5284384,11.376
171,171,1.6926118,101.5283955,1.6927054,101.5283597,11.132
172,172,1.6925840,101.5283154,1.6926747,101.5282806,10.797
173,173,1.6925558,101.5282352,1.6926284,101.5281928,9.344
174,174,1.6925262,101.5281556,1.6925857,101.5281208,7.663
175,175,1.6924944,101.5280772,1.6925431,101.5280487,6.271
176,176,1.6924593,101.5280005,1.6924887,101.5279777,4.139
177,177,1.6924209,101.5279256,1.6924377,101.5279126,2.364
178,178,1.6923794,101.5278527,1.6923864,101.5278472,0.985
179,179,1.6923350,101.5277815,1.6923348,101.5277816,0.020
180,180,1.6922880,101.5277120,1.6922832,101.5277157,0.672
181,181,1.6922385,101.5276443,1.6922315,101.5276498,0.994
182,182,1.6921869,101.5275783,1.6921797,101.5275838,1.007
183,183,1.6921328,101.5275143,1.6921280,101.5275180,0.664
184,184,1.6920751,101.5274535,1.6920766,101.5274524,0.204
185,185,1.6920129,101.5273970,1.6920255,101.5273873,1.777
186,186,1.6919450,101.5273459,1.6919749,101.5273227,4.199
187,187,1.6918728,101.5272989,1.6919247,101.5272588,7.294
188,188,1.6917986,101.5272543,1.6918903,101.5272136,11.159
189,189,1.6917244,101.5272100,1.6918613,101.5271492,16.654
190,190,1.6916527,101.5271640,1.6918417,101.5271056,21.995
191,191,1.6915856,101.5271143,1.6918417,101.5271056,28.494
192,192,1.6915253,101.5270589,1.6918431,101.5270916,35.521
193,193,1.6914743,101.5269959,1.6918491,101.5270345,41.897
194,194,1.6914344,101.5269237,1.6918561,101.5269671,47.140
195,195,1.6914065,101.5268439,1.6918640,101.5268910,51.141
196,196,1.6913909,101.5267595,1.6918726,101.5268090,53.840
